epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.5898,1.56493,2.69793,1.56593,0.97645,0.16652,0.46622,0.26523,1.33923,2.84922,1.34485,0.00036436,0.00036436,0.00036436
2,33.2857,1.5178,1.79768,1.50471,0.59052,0.40489,0.48046,0.28602,1.41158,2.21767,1.41928,0.000720147,0.000720147,0.000720147
3,46.4564,1.52136,1.63801,1.49712,0.53322,0.51084,0.5216,0.32255,1.45262,1.96736,1.42525,0.00106127,0.00106127,0.00106127
4,59.9143,1.51084,1.59491,1.49132,0.69224,0.65372,0.70487,0.41046,1.39106,1.44713,1.39362,0.00104501,0.00104501,0.00104501
5,72.9887,1.4888,1.49172,1.45903,0.73737,0.65385,0.75975,0.46738,1.3993,1.29864,1.37217,0.00102301,0.00102301,0.00102301
6,86.1633,1.47113,1.41048,1.44195,0.83146,0.72638,0.78627,0.48782,1.32203,1.21815,1.33443,0.00100101,0.00100101,0.00100101
7,99.5375,1.47708,1.40054,1.45552,0.75025,0.6941,0.77554,0.46436,1.38823,1.24639,1.38351,0.000979013,0.000979013,0.000979013
8,112.605,1.4197,1.31158,1.40955,0.77984,0.67228,0.76512,0.46088,1.38276,1.3529,1.35598,0.000957015,0.000957015,0.000957015
9,125.952,1.43465,1.27826,1.40952,0.91068,0.7012,0.84108,0.53855,1.25951,1.0826,1.28777,0.000935018,0.000935018,0.000935018
10,139.029,1.38173,1.22269,1.38848,0.83204,0.75734,0.83539,0.53635,1.29552,1.01674,1.30771,0.00091302,0.00091302,0.00091302
11,152.255,1.37326,1.20811,1.38713,0.83842,0.74451,0.83668,0.53788,1.26961,1.10089,1.30575,0.000891022,0.000891022,0.000891022
12,165.198,1.32724,1.1416,1.35288,0.87069,0.76678,0.84353,0.52341,1.30178,1.00825,1.32776,0.000869024,0.000869024,0.000869024
13,178.218,1.35822,1.14027,1.36415,0.85437,0.72774,0.84411,0.52828,1.29335,1.03119,1.32238,0.000847026,0.000847026,0.000847026
14,191.644,1.3409,1.14435,1.35794,0.81708,0.75088,0.84349,0.53795,1.28257,1.03658,1.27955,0.000825029,0.000825029,0.000825029
15,204.59,1.33513,1.1165,1.35506,0.81728,0.72728,0.83929,0.52628,1.32975,1.09985,1.30565,0.000803031,0.000803031,0.000803031
16,218.007,1.31561,1.09705,1.33758,0.84058,0.7565,0.8537,0.54127,1.26036,0.95693,1.28535,0.000781033,0.000781033,0.000781033
17,230.994,1.32322,1.08089,1.34452,0.85341,0.7894,0.83847,0.5368,1.30859,1.06876,1.33833,0.000759035,0.000759035,0.000759035
18,243.931,1.27799,1.04603,1.31516,0.86826,0.66514,0.84837,0.54666,1.2344,1.02472,1.28209,0.000737037,0.000737037,0.000737037
19,257.398,1.30499,1.04031,1.31991,0.8302,0.78632,0.85797,0.55899,1.26231,0.96404,1.31002,0.00071504,0.00071504,0.00071504
20,270.364,1.26062,1.02115,1.30072,0.88298,0.82136,0.88761,0.57103,1.27325,0.92139,1.28439,0.000693042,0.000693042,0.000693042
21,283.724,1.26281,1.00244,1.30147,0.82992,0.79036,0.8623,0.55989,1.22847,0.99564,1.254,0.000671044,0.000671044,0.000671044
22,296.706,1.2395,1.0049,1.29385,0.89489,0.76828,0.8782,0.56933,1.24483,0.96589,1.28,0.000649046,0.000649046,0.000649046
23,309.574,1.24359,0.968,1.27947,0.88536,0.8121,0.88501,0.57426,1.28442,0.90442,1.27293,0.000627048,0.000627048,0.000627048
24,322.973,1.2181,0.94118,1.28843,0.85106,0.82097,0.87044,0.56326,1.25696,0.93452,1.27754,0.000605051,0.000605051,0.000605051
25,336.035,1.1999,0.92997,1.26286,0.90404,0.78601,0.87887,0.5516,1.32643,0.92539,1.31179,0.000583053,0.000583053,0.000583053
26,349.128,1.23564,0.94272,1.27789,0.90947,0.81568,0.89548,0.57324,1.25266,0.85407,1.28991,0.000561055,0.000561055,0.000561055
27,362.235,1.20312,0.92059,1.2644,0.87482,0.81024,0.88415,0.58098,1.20974,0.87213,1.27587,0.000539057,0.000539057,0.000539057
28,375.221,1.18204,0.90494,1.26274,0.9095,0.83701,0.89229,0.58745,1.23868,0.87875,1.26283,0.000517059,0.000517059,0.000517059
29,388.462,1.17525,0.87149,1.24035,0.87257,0.83565,0.89301,0.56794,1.22686,0.90191,1.25374,0.000495062,0.000495062,0.000495062
30,401.51,1.15697,0.87289,1.23123,0.85642,0.83178,0.90188,0.57916,1.25856,0.87764,1.2712,0.000473064,0.000473064,0.000473064
31,415.013,1.16591,0.87929,1.23881,0.87447,0.76489,0.87193,0.56264,1.22248,0.90454,1.25763,0.000451066,0.000451066,0.000451066
32,428.016,1.13659,0.83926,1.22728,0.91336,0.76892,0.89096,0.56542,1.25901,0.88342,1.26702,0.000429068,0.000429068,0.000429068
33,441,1.11558,0.8323,1.21333,0.89111,0.78731,0.88503,0.53992,1.30272,0.92945,1.31887,0.00040707,0.00040707,0.00040707
34,454.181,1.11639,0.82549,1.21129,0.89307,0.81665,0.89597,0.5761,1.20978,0.83012,1.25216,0.000385073,0.000385073,0.000385073
35,467.134,1.14032,0.83072,1.22454,0.88405,0.79992,0.88566,0.5531,1.26555,0.86284,1.29505,0.000363075,0.000363075,0.000363075
36,480.617,1.12717,0.81279,1.22017,0.8916,0.80495,0.87818,0.56521,1.27358,0.87138,1.28304,0.000341077,0.000341077,0.000341077
37,493.636,1.13874,0.83975,1.20728,0.87818,0.84864,0.8935,0.58279,1.21155,0.81598,1.25101,0.000319079,0.000319079,0.000319079
38,506.682,1.10129,0.80091,1.21517,0.92409,0.80092,0.89674,0.58458,1.22875,0.84751,1.26763,0.000297081,0.000297081,0.000297081
39,519.931,1.09797,0.79588,1.19647,0.87818,0.81891,0.87963,0.54411,1.34032,0.88601,1.33159,0.000275084,0.000275084,0.000275084
40,532.981,1.09056,0.78723,1.19241,0.8775,0.79383,0.8756,0.56183,1.27174,0.93137,1.29188,0.000253086,0.000253086,0.000253086
41,547.971,1.08618,0.7696,1.22581,0.83276,0.77426,0.84392,0.52058,1.31876,0.89304,1.34538,0.000231088,0.000231088,0.000231088
42,560.931,1.07433,0.73794,1.19748,0.88479,0.80081,0.87746,0.54832,1.25695,0.87999,1.28823,0.00020909,0.00020909,0.00020909
43,573.957,1.03809,0.72035,1.1759,0.88055,0.80308,0.87558,0.55553,1.26956,0.86178,1.30439,0.000187092,0.000187092,0.000187092
44,586.619,1.03403,0.71122,1.19451,0.84853,0.80105,0.87044,0.55621,1.25151,0.92621,1.29856,0.000165095,0.000165095,0.000165095
45,599.439,1.02705,0.69799,1.18011,0.89593,0.77565,0.87599,0.535,1.31113,0.89702,1.33883,0.000143097,0.000143097,0.000143097
46,612.407,1.0086,0.68579,1.16454,0.8921,0.75307,0.85374,0.52588,1.31914,0.9132,1.35438,0.000121099,0.000121099,0.000121099
47,625.131,1.01744,0.69444,1.17467,0.89427,0.77051,0.85712,0.53706,1.29579,0.90098,1.32971,9.91012e-05,9.91012e-05,9.91012e-05
48,638.156,0.99312,0.67436,1.15563,0.86562,0.79725,0.87228,0.54801,1.27163,0.90549,1.32345,7.71034e-05,7.71034e-05,7.71034e-05
49,650.87,0.98831,0.67915,1.16028,0.87513,0.7746,0.86542,0.53535,1.29675,0.92761,1.33184,5.51056e-05,5.51056e-05,5.51056e-05
50,663.569,0.98408,0.65306,1.14077,0.87595,0.77661,0.86035,0.53902,1.29747,0.92836,1.33668,3.31078e-05,3.31078e-05,3.31078e-05
