Date,Open,High,Low,Close,Adj Close,Volume
02-01-2018,58.599998,59.5,58.525501,59.4505,59.4505,53890000
03-01-2018,59.415001,60.274502,59.415001,60.209999,60.209999,62176000
04-01-2018,60.25,60.793499,60.233002,60.4795,60.4795,60442000
05-01-2018,60.8755,61.457001,60.5,61.457001,61.457001,70894000
08-01-2018,61.799999,62.653999,61.601501,62.343498,62.343498,85590000
09-01-2018,62.845001,62.966499,62.088001,62.634998,62.634998,73226000
10-01-2018,62.2575,62.716499,61.8615,62.716499,62.716499,53720000
11-01-2018,62.987,63.838501,62.823002,63.834,63.834,62500000
12-01-2018,63.669498,65.288002,63.669498,65.260002,65.260002,108874000
16-01-2018,66.150002,66.997002,64.614998,65.242996,65.242996,144414000
17-01-2018,65.612,65.699997,64.043999,64.75,64.75,105076000
18-01-2018,64.697502,65.230003,64.200996,64.666,64.666,80538000
19-01-2018,65.599998,65.650002,64.649498,64.728996,64.728996,91570000
22-01-2018,64.858498,66.372498,64.833,66.365501,66.365501,82802000
23-01-2018,66.904503,68.245003,66.866997,68.126999,68.126999,103386000
24-01-2018,68.740997,69.407997,66.900002,67.875504,67.875504,136150000
25-01-2018,68.400002,68.917,67.880997,68.897499,68.897499,95060000
26-01-2018,69.600502,70.126503,69.045502,70.102501,70.102501,97146000
29-01-2018,70.459,71.569504,70.022003,70.884003,70.884003,114038000
30-01-2018,70.158501,71.962502,69.599998,71.890999,71.890999,117438000
31-01-2018,72.565002,73.628998,72.501999,72.544502,72.544502,128494000
01-02-2018,72.25,72.994003,69.257004,69.5,69.5,182276000
02-02-2018,73.869499,74.900002,70.699997,71.497498,71.497498,222514000
05-02-2018,70.130997,72.948997,66.036003,69.5,69.5,229900000
06-02-2018,68.072998,72.199501,67.5895,72.141998,72.141998,221336000
07-02-2018,72.449997,73.0495,70.7575,70.838997,70.838997,143254000
08-02-2018,71.484001,71.6875,67.497002,67.525002,67.525002,171572000
09-02-2018,68.6745,69.175003,63.296501,66.980003,66.980003,282830000
12-02-2018,68.233498,69.690498,67.2005,69.311501,69.311501,134778000
13-02-2018,69.296501,70.986,69.176498,70.725502,70.725502,118358000
14-02-2018,70.3125,72.602997,70.167999,72.552498,72.552498,119184000
15-02-2018,73.344498,73.446999,71.842003,73.087997,73.087997,113054000
16-02-2018,72.8685,73.290001,72.328003,72.434502,72.434502,89452000
20-02-2018,72.324501,74.438499,72.324501,73.417503,73.417503,129984000
21-02-2018,74.25,75.1745,73.945999,74.146004,74.146004,126088000
22-02-2018,74.767998,75.126999,73.788002,74.266998,74.266998,97162000
23-02-2018,74.766998,75,74.324997,75,75,88362000
26-02-2018,75.459999,76.141998,75.349998,76.097504,76.097504,99100000
27-02-2018,76.224998,76.338997,75.360497,75.598999,75.598999,96176000
28-02-2018,75.975502,76.434998,75.599998,75.622498,75.622498,90300000
01-03-2018,75.68,75.9245,73.25,74.672501,74.672501,136704000
02-03-2018,73.455002,75.052498,72.750504,75.012497,75.012497,131752000
05-03-2018,74.711998,76.268997,74.050003,76.180496,76.180496,104678000
06-03-2018,76.660004,77.106499,76.400002,76.882004,76.882004,91234000
07-03-2018,76.325996,77.294998,76.125504,77.25,77.25,83482000
08-03-2018,77.5,77.744003,77.262497,77.593002,77.593002,77252000
09-03-2018,78.175003,78.946999,77.954002,78.944504,78.944504,90686000
12-03-2018,79.629997,80.266502,79.334999,79.919502,79.919502,103484000
13-03-2018,80.797997,80.876999,78.900497,79.408997,79.408997,130638000
14-03-2018,79.849998,80.321999,79.544502,79.550003,79.550003,85188000
15-03-2018,79.75,79.845497,78.905502,79.115997,79.115997,81394000
16-03-2018,79.172501,79.472,78.375,78.584,78.584,108500000
19-03-2018,77.726501,78.083,76.267502,77.246498,77.246498,131616000
20-03-2018,77.516998,79.349998,77.2705,79.3255,79.3255,91632000
21-03-2018,79.322502,79.5,78.158501,79.093002,79.093002,95016000
22-03-2018,78.273499,78.692497,77.120003,77.246002,77.246002,126412000
23-03-2018,76.9505,77.450996,74.767998,74.778,74.778,160120000
26-03-2018,76.5,77.849503,74.962502,77.792999,77.792999,112494000
27-03-2018,78.620003,78.7985,74.115997,74.852501,74.852501,139992000
28-03-2018,72.349998,72.794998,69.308502,71.570999,71.570999,274106000
29-03-2018,70.300003,72.773499,68.260002,72.366997,72.366997,251622000
02-04-2018,70.880997,71.068001,67.75,68.599503,68.599503,209272000
03-04-2018,69.569,70.699997,67.766502,69.602501,69.602501,204624000
04-04-2018,67.912003,70.769501,67.643997,70.528503,70.528503,139646000
05-04-2018,72.099503,72.977997,71.3535,72.587502,72.587502,128270000
06-04-2018,71.498497,72.625,70.013,70.261497,70.261497,117646000
09-04-2018,71.251503,71.924004,70.128502,70.304001,70.304001,84164000
10-04-2018,71.599503,71.918999,70.785004,71.810997,71.810997,85082000
11-04-2018,71.972,72.439003,71.244499,71.352501,71.352501,71650000
12-04-2018,71.974998,72.606003,71.752998,72.425003,72.425003,62700000
13-04-2018,72.457001,72.988998,71.225998,71.539497,71.539497,73706000
16-04-2018,72.25,72.349998,71.374001,72.074997,72.074997,56172000
17-04-2018,73.114998,75.359497,72.850998,75.191498,75.191498,102288000
18-04-2018,75.732498,76.690002,75.205498,76.391998,76.391998,104550000
19-04-2018,77.161003,78.426003,76.953003,77.845497,77.845497,130474000
20-04-2018,78.059998,78.059998,75.804497,76.374496,76.374496,110832000
23-04-2018,77.334503,77.400002,75.170502,75.892998,75.892998,89308000
24-04-2018,76.790001,76.974998,72.422501,73.004501,73.004501,149894000
25-04-2018,72.900002,73.499496,70.750999,73.008499,73.008499,131746000
26-04-2018,74.250504,76.471001,73.925003,75.898003,75.898003,176022000
27-04-2018,81.7005,81.904999,78.369499,78.630997,78.630997,261064000
30-04-2018,79.125,79.800003,78.046997,78.306503,78.306503,109282000
01-05-2018,78.161003,79.25,77.609001,79.112999,79.112999,91442000
02-05-2018,79.049004,79.425003,78.318001,78.484001,78.484001,87206000
03-05-2018,78.000504,78.739998,77.301003,78.603996,78.603996,85038000
04-05-2018,78.122498,79.245003,78.109497,79.047501,79.047501,68872000
07-05-2018,79.467003,80.347504,79.391502,80.007004,80.007004,76038000
08-05-2018,79.75,79.844002,79.125504,79.619499,79.619499,61358000
09-05-2018,80,80.400002,79.599998,80.400002,80.400002,72746000
10-05-2018,80.424004,80.779999,80.171997,80.454002,80.454002,56350000
11-05-2018,80.5495,80.555,79.894501,80.1455,80.1455,45278000
14-05-2018,80.199997,80.558998,80.002502,80.077003,80.077003,50190000
15-05-2018,79.389999,79.389999,78.261002,78.806,78.806,101550000
16-05-2018,78.875,79.721497,78.833504,79.363998,79.363998,51412000
17-05-2018,79.028,79.702003,78.650002,79.087997,79.087997,42952000
18-05-2018,79.066498,79.179497,78.605003,78.718498,78.718498,52852000
21-05-2018,79.25,79.602501,78.75,79.273003,79.273003,58504000
22-05-2018,79.494499,79.494499,78.762497,79.07,79.07,42312000
23-05-2018,78.552498,80.093002,78.317001,80.093002,80.093002,67238000
24-05-2018,79.901497,80.412003,79.418999,80.153503,80.153503,68600000
25-05-2018,80.150002,80.706001,80.022499,80.5075,80.5075,53968000
29-05-2018,80.0355,81.0895,80.0075,80.643501,80.643501,76930000
30-05-2018,80.904999,81.300003,80.6465,81.244499,81.244499,58148000
31-05-2018,81.150002,81.75,81.067497,81.481003,81.481003,63326000
01-06-2018,81.851501,82.336502,81.754501,82.077003,82.077003,66268000
04-06-2018,82.445,83.283997,82.274498,83.263496,83.263496,63754000
05-06-2018,83.649498,84.949997,83.502998,84.817497,84.817497,95644000
06-06-2018,85.225502,85.724998,84.323502,84.787498,84.787498,109464000
07-06-2018,84.928001,84.995003,83.805496,84.464996,84.464996,75314000
08-06-2018,84.056,84.472,83.650497,84.199501,84.199501,59102000
11-06-2018,84.0755,84.711998,84.029503,84.456001,84.456001,46710000
12-06-2018,84.650002,84.975502,84.575996,84.9375,84.9375,45184000
13-06-2018,85.140503,85.6875,85.005997,85.242996,85.242996,66550000
14-06-2018,85.674004,86.239998,85.443497,86.193001,86.193001,63488000
15-06-2018,85.699997,86.043503,85.426003,85.7985,85.7985,95552000
18-06-2018,85.313004,86.336998,85.127998,86.189499,86.189499,62154000
19-06-2018,85.452003,86.805496,85.019501,86.738998,86.738998,85802000
20-06-2018,87.125,88.1465,87.068001,87.503998,87.503998,86652000
21-06-2018,88,88.154999,85.877998,86.511002,86.511002,98822000
22-06-2018,87.130997,87.150002,85.595001,85.783501,85.783501,81502000
25-06-2018,85.125504,85.25,82.315498,83.157501,83.157501,150224000
26-06-2018,83.6185,85.078499,83.167,84.554497,84.554497,87732000
27-06-2018,85.405502,85.597504,83,83.025497,83.025497,97444000
28-06-2018,83.626999,85.275002,83.058502,85.072502,85.072502,90594000
29-06-2018,85.849998,86.170502,84.716003,84.989998,84.989998,90870000
02-07-2018,84.135002,85.694504,83.903,85.689003,85.689003,63714000
03-07-2018,86.197998,86.25,84.624001,84.697998,84.697998,43546000
05-07-2018,85.268997,85.5345,84.107498,84.986504,84.986504,59662000
06-07-2018,84.800003,85.763496,84.583504,85.531502,85.531502,53006000
09-07-2018,86.202499,86.977997,85.811501,86.950996,86.950996,60240000
10-07-2018,86.926498,87.5,86.550003,87.153503,87.153503,60058000
11-07-2018,86.899498,87.848,86.699997,87.75,87.75,64196000
12-07-2018,88.225502,89.900002,88.109001,89.831001,89.831001,90654000
13-07-2018,90.196503,90.764999,89.761497,90.651497,90.651497,87664000
16-07-2018,91.097504,92.097504,90.722504,91.124496,91.124496,109324000
17-07-2018,90.578003,92.584503,89.869003,92.196503,92.196503,113658000
18-07-2018,92.400002,92.944,91.563499,92.146004,92.146004,97238000
19-07-2018,91.473,92.050003,90.563499,90.648499,90.648499,93538000
20-07-2018,91.250504,91.741997,90.502998,90.684998,90.684998,77688000
23-07-2018,90.610497,90.949997,88.499496,90.099998,90.099998,77770000
24-07-2018,91.4505,92,90.469002,91.461998,91.461998,85574000
25-07-2018,91.464996,93.192001,91.132004,93.180496,93.180496,74764000
26-07-2018,91.949997,92.234001,90.224998,90.400002,90.400002,198488000
27-07-2018,93.802498,94.002502,90.3265,90.863503,90.863503,193620000
30-07-2018,91.366501,91.474998,88.301003,88.960999,88.960999,131246000
31-07-2018,89.324501,90.091499,86.966003,88.872002,88.872002,114774000
01-08-2018,89.199997,89.921997,88.801003,89.858498,89.858498,83062000
02-08-2018,89.438499,91.828003,89.300003,91.716499,91.716499,87094000
03-08-2018,91.887001,92.050003,91.074997,91.164497,91.164497,69210000
06-08-2018,91.290497,92.388496,90.945999,92.387497,92.387497,67836000
07-08-2018,92.726501,93.486,92.313499,93.124001,93.124001,67550000
08-08-2018,93.050003,94.5755,92.724998,94.325996,94.325996,79260000
09-08-2018,94.099998,95.7285,93.874001,94.926003,94.926003,97208000
10-08-2018,94.425499,94.974998,93.9105,94.315002,94.315002,72798000
13-08-2018,94.925003,96.25,94.683502,94.809998,94.809998,110630000
14-08-2018,95.969498,96.050499,95,95.982498,95.982498,79722000
15-08-2018,95.477501,95.810501,93.489502,94.130997,94.130997,154014000
16-08-2018,95.196999,95.25,94.177498,94.325996,94.325996,79142000
17-08-2018,94.290001,94.400002,92.777496,94.111,94.111,82086000
20-08-2018,94.528503,94.587502,93.303001,93.835503,93.835503,57240000
21-08-2018,94,94.887497,93.720497,94.170998,94.170998,62112000
22-08-2018,93.832001,95.290001,93.832001,95.245003,95.245003,61610000
23-08-2018,95.358498,95.974998,95.038002,95.144997,95.144997,71260000
24-08-2018,95.525497,95.800499,95.126999,95.269501,95.269501,56018000
27-08-2018,95.75,96.385002,95.463997,96.384003,96.384003,71380000
28-08-2018,96.886497,97.088997,96.441002,96.640999,96.640999,62014000
29-08-2018,97.672501,99.934502,97.446999,99.904999,99.904999,130636000
30-08-2018,99.871002,101.278503,99.345001,100.119003,100.119003,145546000
31-08-2018,100.349998,101.119003,100.237,100.635498,100.635498,84088000
