Date,Open,High,Low,Close,Adj Close,Volume
1/2/2018,47.57,47.799999,46.169998,46.630001,42.437176,25380000
1/3/2018,47.529999,48.07,47.439999,47.709999,43.420063,24165000
1/4/2018,47.990002,48.189999,47.720001,48.18,43.847794,19815100
1/5/2018,48.419998,48.630001,48.279999,48.470001,44.111725,14496400
1/8/2018,48.299999,49.07,47.939999,48.98,44.575863,15075000
1/9/2018,49.25,49.360001,48.919998,49.060001,44.82254,14153700
1/10/2018,48.860001,49.27,48.580002,48.799999,44.585003,13476600
1/11/2018,48.869999,49.02,48.439999,48.950001,44.722042,11687800
1/12/2018,49.18,49.830002,49.060001,49.509998,45.233669,15978200
1/16/2018,49.849998,50.060001,49.439999,49.59,45.30677,17152600
1/17/2018,49.91,50.290001,49.849998,50.27,45.928036,23183100
1/18/2018,50.189999,50.68,50.099998,50.23,45.891479,17119200
1/19/2018,50.5,50.599998,50.27,50.580002,46.211262,14011500
1/22/2018,50.43,50.740002,50.27,50.709999,46.330021,16840000
1/23/2018,50.75,51.27,50.57,51.119999,46.704613,14141400
1/24/2018,51.360001,52,51.209999,51.450001,47.006115,17205600
1/25/2018,51.540001,52.049999,51.540001,51.599998,47.14315,13904300
1/26/2018,51.860001,52.75,51.759998,52.75,48.193821,14909200
1/29/2018,52.669998,52.790001,51.880001,51.939999,47.453789,12234900
1/30/2018,51.740002,51.990002,50.75,50.959999,46.55843,16863500
1/31/2018,50.860001,51.849998,50.860001,51.59,47.134018,16806800
2/1/2018,51.360001,51.98,51.259998,51.630001,47.17057,11674100
2/2/2018,51.25,51.41,50.040001,50.130001,45.800133,17562200
2/5/2018,50.040001,50.700001,48.060001,48.09,43.936325,19725800
2/6/2018,47.330002,49.509998,46.810001,49.400002,45.133171,25921200
2/7/2018,49.200001,49.849998,48.82,48.869999,44.648949,15138000
2/8/2018,49.09,49.119999,46.810001,46.84,42.794292,21255400
2/9/2018,47.580002,48.150002,45.919998,47.73,43.607422,23191000
2/12/2018,48.220001,48.490002,47.720001,48.150002,43.99115,16261600
2/13/2018,48.009998,48.68,47.77,48.490002,44.301781,12633100
2/14/2018,48.189999,49.52,48.139999,49.450001,45.178856,14271400
2/15/2018,49.700001,50.689999,49.43,50.639999,46.266071,14132500
2/16/2018,50.549999,51.139999,50.490002,50.709999,46.330021,11098800
2/20/2018,50.200001,50.310001,49.66,49.889999,45.580853,14144900
2/21/2018,49.869999,50.34,49.43,49.43,45.160587,13050800
2/22/2018,49.59,50.060001,49.41,49.59,45.30677,9513200
2/23/2018,49.790001,50.57,49.619999,50.5,46.138153,8866800
2/26/2018,50.59,51.259998,50.5,51.169998,46.75029,12956000
2/27/2018,51.07,51.400002,50.540001,50.73,46.348297,14339600
2/28/2018,51.060001,51.5,50.669998,50.669998,46.29348,14947900
3/1/2018,50.959999,50.959999,49.419998,49.709999,45.416389,16539800
3/2/2018,49.330002,50.400002,49.16,50.32,45.973717,17291000
3/5/2018,49.900002,51.490002,49.849998,51.290001,46.859913,18771500
3/6/2018,51.560001,51.790001,51.220001,51.5,47.051785,13907100
3/7/2018,51.060001,51.810001,51.029999,51.720001,47.252792,11727300
3/8/2018,51.939999,52.16,51.470001,52.130001,47.62738,15864400
3/9/2018,52.349998,53,52.200001,52.970001,48.394829,16218600
3/12/2018,52.98,53.439999,52.669998,52.900002,48.330872,14108400
3/13/2018,53.240002,53.48,52.34,52.580002,48.038509,12864400
3/14/2018,52.880001,53.150002,52.18,52.32,47.800968,10885500
3/15/2018,52.220001,52.669998,52.110001,52.369999,47.846642,14155200
3/16/2018,52.400002,52.689999,52.25,52.27,47.755287,21011500
3/19/2018,52.43,52.580002,51.509998,51.950001,47.462925,25777400
3/20/2018,46.799999,47.75,46.43,47.049999,42.986153,68601000
3/21/2018,47.290001,48.060001,47.009998,47.02,42.95874,34597700
3/22/2018,46.720001,47.02,45.73,45.889999,41.926334,25610100
3/23/2018,45.98,46.279999,44.759998,44.790001,40.921349,21398900
3/26/2018,45.549999,46.639999,45.389999,46.48,42.465382,20754800
3/27/2018,46.630001,46.82,45,45.380001,41.4604,18925300
3/28/2018,45.279999,45.360001,44.509998,44.98,41.094944,22156900
3/29/2018,45.310001,46.290001,45.009998,45.75,41.798435,14256400
4/2/2018,45.650002,45.849998,44.419998,45.009998,41.122356,15343300
4/3/2018,45.330002,45.330002,44.290001,44.889999,41.012714,15734600
4/4/2018,44.07,45.619999,44.040001,45.509998,41.579163,18505900
4/5/2018,45.73,46.18,45.549999,45.959999,41.990299,12313000
4/6/2018,45.509998,45.75,44.599998,44.830002,40.957905,13893600
4/9/2018,45.110001,45.650002,44.880001,44.900002,41.021854,15200000
4/10/2018,45.549999,46.07,45.459999,45.82,41.862392,14868900
4/11/2018,45.400002,45.990002,45.360001,45.610001,41.670528,14911400
4/12/2018,45.689999,46.169998,45.650002,45.880001,41.91721,13970300
4/13/2018,46.310001,46.529999,45.610001,46.080002,42.099941,12493600
4/16/2018,46.029999,46.389999,45.599998,46.049999,42.246712,11639000
4/17/2018,46.41,46.93,46.389999,46.66,42.806335,10762700
4/18/2018,46.68,47.290001,46.68,47.080002,43.191654,11312900
